
	Frequency of annotations called from Tabulated file
ABC
	942
,DOWNSTREAM,SYNONYMOUS_CODING	2
,DOWNSTREAM,UPSTREAM	4
3PRIME_UTR	11766
3PRIME_UTR,5PRIME_UTR	2
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM	26
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,INTRONIC	4
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,INTRONIC,STOP_GAINED,UPSTREAM	1
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,INTRONIC,UPSTREAM	10
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING	2
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING,UPSTREAM	2
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,UPSTREAM	34
3PRIME_UTR,5PRIME_UTR,INTRONIC,UPSTREAM	23
3PRIME_UTR,5PRIME_UTR,SPLICE_SITE&5PRIME_UTR,UPSTREAM	1
3PRIME_UTR,5PRIME_UTR,SYNONYMOUS_CODING,UPSTREAM	1
3PRIME_UTR,5PRIME_UTR,UPSTREAM	52
3PRIME_UTR,CODING_UNKNOWN,DOWNSTREAM,SYNONYMOUS_CODING	1
3PRIME_UTR,DOWNSTREAM	25347
3PRIME_UTR,DOWNSTREAM,ESSENTIAL_SPLICE_SITE	1
3PRIME_UTR,DOWNSTREAM,ESSENTIAL_SPLICE_SITE,UPSTREAM	2
3PRIME_UTR,DOWNSTREAM,INTRONIC	1938
3PRIME_UTR,DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING	14
3PRIME_UTR,DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING&SPLICE_SITE	1
3PRIME_UTR,DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	6
3PRIME_UTR,DOWNSTREAM,INTRONIC,SPLICE_SITE&3PRIME_UTR	1
3PRIME_UTR,DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING	16
3PRIME_UTR,DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING,UPSTREAM	5
3PRIME_UTR,DOWNSTREAM,INTRONIC,UPSTREAM	612
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING	156
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE	2
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE,UPSTREAM	1
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING,SPLICE_SITE&3PRIME_UTR	1
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	1
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	3
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING,UPSTREAM	66
3PRIME_UTR,DOWNSTREAM,SPLICE_SITE&3PRIME_UTR	3
3PRIME_UTR,DOWNSTREAM,SPLICE_SITE&3PRIME_UTR,UPSTREAM	2
3PRIME_UTR,DOWNSTREAM,SPLICE_SITE&INTRONIC	9
3PRIME_UTR,DOWNSTREAM,SPLICE_SITE&INTRONIC,UPSTREAM	4
3PRIME_UTR,DOWNSTREAM,STOP_GAINED,SYNONYMOUS_CODING,UPSTREAM	1
3PRIME_UTR,DOWNSTREAM,STOP_GAINED,UPSTREAM	3
3PRIME_UTR,DOWNSTREAM,STOP_LOST,SYNONYMOUS_CODING	1
3PRIME_UTR,DOWNSTREAM,STOP_LOST,UPSTREAM	1
3PRIME_UTR,DOWNSTREAM,SYNONYMOUS_CODING	199
3PRIME_UTR,DOWNSTREAM,SYNONYMOUS_CODING,UPSTREAM	70
3PRIME_UTR,DOWNSTREAM,UPSTREAM	7523
3PRIME_UTR,ESSENTIAL_SPLICE_SITE,UPSTREAM	3
3PRIME_UTR,INTRONIC	1274
3PRIME_UTR,INTRONIC,NON_SYNONYMOUS_CODING	3
3PRIME_UTR,INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	5
