
	Frequency of annotations called from Tabulated file
ABC
	402
,DOWNSTREAM,SYNONYMOUS_CODING	1
,DOWNSTREAM,UPSTREAM	1
3PRIME_UTR	2142
3PRIME_UTR,5PRIME_UTR	1
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM	5
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,INTRONIC,UPSTREAM	1
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING	1
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,UPSTREAM	6
3PRIME_UTR,5PRIME_UTR,ESSENTIAL_SPLICE_SITE,UPSTREAM	1
3PRIME_UTR,5PRIME_UTR,INTRONIC,UPSTREAM	2
3PRIME_UTR,5PRIME_UTR,UPSTREAM	4
3PRIME_UTR,DOWNSTREAM	5457
3PRIME_UTR,DOWNSTREAM,ESSENTIAL_SPLICE_SITE,INTRONIC,UPSTREAM	1
3PRIME_UTR,DOWNSTREAM,INTRONIC	509
3PRIME_UTR,DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING	3
3PRIME_UTR,DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	1
3PRIME_UTR,DOWNSTREAM,INTRONIC,SPLICE_SITE&3PRIME_UTR,UPSTREAM	1
3PRIME_UTR,DOWNSTREAM,INTRONIC,SPLICE_SITE&INTRONIC	2
3PRIME_UTR,DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING	1
3PRIME_UTR,DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING,UPSTREAM	5
3PRIME_UTR,DOWNSTREAM,INTRONIC,UPSTREAM	153
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING	40
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING,UPSTREAM	13
3PRIME_UTR,DOWNSTREAM,SPLICE_SITE&INTRONIC	5
3PRIME_UTR,DOWNSTREAM,SPLICE_SITE&INTRONIC,UPSTREAM	1
3PRIME_UTR,DOWNSTREAM,STOP_GAINED	1
3PRIME_UTR,DOWNSTREAM,SYNONYMOUS_CODING	36
3PRIME_UTR,DOWNSTREAM,SYNONYMOUS_CODING,UPSTREAM	13
3PRIME_UTR,DOWNSTREAM,UPSTREAM	1462
3PRIME_UTR,INTRONIC	309
3PRIME_UTR,INTRONIC,NON_SYNONYMOUS_CODING	1
3PRIME_UTR,INTRONIC,NON_SYNONYMOUS_CODING&SPLICE_SITE	1
3PRIME_UTR,INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	1
3PRIME_UTR,INTRONIC,SYNONYMOUS_CODING	1
3PRIME_UTR,INTRONIC,UPSTREAM	139
3PRIME_UTR,NON_SYNONYMOUS_CODING	20
3PRIME_UTR,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	2
3PRIME_UTR,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	2
3PRIME_UTR,NON_SYNONYMOUS_CODING,UPSTREAM	10
3PRIME_UTR,SPLICE_SITE&3PRIME_UTR,UPSTREAM	1
3PRIME_UTR,SPLICE_SITE&INTRONIC	1
3PRIME_UTR,STOP_GAINED	1
3PRIME_UTR,SYNONYMOUS_CODING	32
3PRIME_UTR,SYNONYMOUS_CODING,UPSTREAM	9
3PRIME_UTR,UPSTREAM	978
5PRIME_UTR	110
5PRIME_UTR,DOWNSTREAM	73
5PRIME_UTR,DOWNSTREAM,INTRONIC	20
5PRIME_UTR,DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING	1
5PRIME_UTR,DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING&SPLICE_SITE,SPLICE_SITE&5PRIME_UTR	1
