
	Frequency of annotations called from Tabulated file
ABC
	513
,3PRIME_UTR	1
3PRIME_UTR	3205
3PRIME_UTR,5PRIME_UTR	3
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM	11
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING,UPSTREAM	2
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,INTRONIC,UPSTREAM	3
3PRIME_UTR,5PRIME_UTR,DOWNSTREAM,UPSTREAM	16
3PRIME_UTR,5PRIME_UTR,INTRONIC	3
3PRIME_UTR,5PRIME_UTR,INTRONIC,UPSTREAM	2
3PRIME_UTR,5PRIME_UTR,NON_SYNONYMOUS_CODING	1
3PRIME_UTR,5PRIME_UTR,SYNONYMOUS_CODING	1
3PRIME_UTR,5PRIME_UTR,UPSTREAM	16
3PRIME_UTR,DOWNSTREAM	7849
3PRIME_UTR,DOWNSTREAM,ESSENTIAL_SPLICE_SITE,UPSTREAM	1
3PRIME_UTR,DOWNSTREAM,INTRONIC	710
3PRIME_UTR,DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING	5
3PRIME_UTR,DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	1
3PRIME_UTR,DOWNSTREAM,INTRONIC,SPLICE_SITE&INTRONIC	1
3PRIME_UTR,DOWNSTREAM,INTRONIC,SPLICE_SITE&SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	1
3PRIME_UTR,DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING	4
3PRIME_UTR,DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING,UPSTREAM	5
3PRIME_UTR,DOWNSTREAM,INTRONIC,UPSTREAM	233
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING	50
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE	1
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING,NON_SYNONYMOUS_CODING&SPLICE_SITE	1
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC,UPSTREAM	1
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	1
3PRIME_UTR,DOWNSTREAM,NON_SYNONYMOUS_CODING,UPSTREAM	21
3PRIME_UTR,DOWNSTREAM,SPLICE_SITE&INTRONIC	3
3PRIME_UTR,DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING,SYNONYMOUS_CODING	1
3PRIME_UTR,DOWNSTREAM,STOP_GAINED	2
3PRIME_UTR,DOWNSTREAM,STOP_GAINED,UPSTREAM	2
3PRIME_UTR,DOWNSTREAM,SYNONYMOUS_CODING	68
3PRIME_UTR,DOWNSTREAM,SYNONYMOUS_CODING,UPSTREAM	17
3PRIME_UTR,DOWNSTREAM,UPSTREAM	2196
3PRIME_UTR,ESSENTIAL_SPLICE_SITE,NON_SYNONYMOUS_CODING	1
3PRIME_UTR,ESSENTIAL_SPLICE_SITE,UPSTREAM	1
3PRIME_UTR,INTRONIC	531
3PRIME_UTR,INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	2
3PRIME_UTR,INTRONIC,STOP_GAINED	1
3PRIME_UTR,INTRONIC,SYNONYMOUS_CODING	2
3PRIME_UTR,INTRONIC,SYNONYMOUS_CODING,UPSTREAM	2
3PRIME_UTR,INTRONIC,UPSTREAM	231
3PRIME_UTR,NON_SYNONYMOUS_CODING	25
3PRIME_UTR,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	2
3PRIME_UTR,NON_SYNONYMOUS_CODING,UPSTREAM	23
3PRIME_UTR,SPLICE_SITE&3PRIME_UTR	1
3PRIME_UTR,SPLICE_SITE&INTRONIC,UPSTREAM	3
3PRIME_UTR,STOP_GAINED	2
3PRIME_UTR,STOP_GAINED,UPSTREAM	1
3PRIME_UTR,SYNONYMOUS_CODING	56
3PRIME_UTR,SYNONYMOUS_CODING,UPSTREAM	19
3PRIME_UTR,UPSTREAM	1367
3PRIME_UTR,WITHIN_MATURE_miRNA	1
5PRIME_UTR	171
5PRIME_UTR,DOWNSTREAM	92
5PRIME_UTR,DOWNSTREAM,INTRONIC	27
5PRIME_UTR,DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	2
5PRIME_UTR,DOWNSTREAM,INTRONIC,SPLICE_SITE&INTRONIC,UPSTREAM	1
5PRIME_UTR,DOWNSTREAM,INTRONIC,STOP_GAINED,UPSTREAM	1
5PRIME_UTR,DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING	2
5PRIME_UTR,DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING,UPSTREAM	4
5PRIME_UTR,DOWNSTREAM,INTRONIC,UPSTREAM	37
